City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Cockburn Town,TC,2021-08-13 01:23:36,21.4612,-71.1419,82.26,73,100,20.13
283,Caraz,PE,2021-08-13 01:23:36,-9.0486,-77.81,62.44,51,77,2.15
284,Thunder Bay,CA,2021-08-13 01:23:37,48.4001,-89.3168,64.31,52,20,12.66
285,Hargeysa,SO,2021-08-13 01:23:37,9.56,44.065,72.12,50,6,22.12
286,Ajdabiya,LY,2021-08-13 01:23:37,30.7554,20.2263,80.28,66,0,11.74
287,Kitakata,JP,2021-08-13 01:23:38,37.65,139.8667,66.31,98,100,0.94
288,Evensk,RU,2021-08-13 01:23:38,61.95,159.2333,53.73,82,89,9.46
289,Harrisonville,US,2021-08-13 01:23:38,38.6533,-94.3488,77.61,90,1,3.44
290,Portland,US,2021-08-13 01:20:31,45.5234,-122.6762,105.57,30,75,1.01
291,Vaitape,PF,2021-08-13 01:23:39,-16.5167,-151.75,78.96,66,5,14.05
